Parameters:
  Sample : MBG_Glass_Air_OD0
  Solvent : <unspecified>
  Comment : Int = 10

  Exc_Wavelength : 505.5 nm
  Exc_Bandpass : 7.0 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 770.0 nm
  Det_Bandpass : 1.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 80 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 135.0 s
  Meas_BinWidth : 1000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 5000 counts
  Meas_PeakCounts : 5000 counts
  Sync_Frequency : 500000 Hz
  Sync_Source : PDL 820
  Signal_Rate : 10010 cps
  Start_Date : 14/02/2022
  Start_Time : 12:55:49
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -50 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -300 mV
  Sync_TrigEdge : true
  Sync_Offset : 300 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	163
0.999999971718068	183
1.99999994343614	195
2.9999998041319	201
3.99999988687227	188
4.99999996961265	199
5.99999960826381	214
6.99999969100418	202
7.99999977374455	177
8.99999985648492	189
9.99999993922529	174
11.0000000219657	187
11.9999992165276	186
12.999999299268	191
13.9999993820084	173
14.9999994647487	194
15.9999995474891	172
16.9999996302295	200
17.9999997129698	184
18.9999997957102	203
19.9999998784506	202
20.999999961191	182
22.0000000439313	161
23.0000001266717	199
23.9999984330552	168
24.9999985157956	201
25.999998598536	199
26.9999986812763	175
27.9999987640167	193
28.9999988467571	172
29.9999989294975	184
30.9999990122378	181
31.9999990949782	171
32.9999991777186	182
33.9999992604589	171
34.9999993431993	167
35.9999994259397	189
36.9999995086801	198
37.9999995914204	160
38.9999996741608	658
39.9999997569012	4767
40.9999998396415	5000
41.9999999223819	4593
43.0000000051223	4524
44.0000000878626	4327
45.000000170603	4191
46.0000002533434	3976
47.0000003360838	3951
47.9999968661105	3825
48.9999969488508	3761
49.9999970315912	3644
50.9999971143316	3540
51.9999971970719	3532
52.9999972798123	3462
53.9999973625527	3467
54.999997445293	3350
55.9999975280334	3339
56.9999976107738	3300
57.9999976935142	3271
58.9999977762545	3196
59.9999978589949	3044
61.0000014944489	3158
61.9999980244756	3020
63.0000016599297	2988
63.9999981899564	3014
64.9999947199831	2984
65.9999983554371	2892
66.9999948854638	2890
67.9999985209179	2857
68.9999950509446	2895
69.9999986863986	2870
70.9999952164253	2822
71.9999988518794	2841
72.999995381906	2791
73.9999990173601	2837
74.9999955473868	2751
75.9999991828408	2772
76.9999957128675	2654
77.9999993483216	2656
78.9999958783483	2673
79.9999995138023	2694
80.999996043829	2666
81.9999996792831	2610
82.9999962093098	2657
83.9999998447638	2647
84.9999963747905	2513
86.0000000102445	2603
86.9999965402712	2573
88.0000001757253	2586
88.999996705752	2546
90.000000341206	2537
90.9999968712327	2481
92.0000005066868	2608
92.9999970367135	2500
94.0000006721675	2603
94.9999972021942	2528
95.9999937322209	2453
96.999997367675	2543
97.9999938977016	2548
98.9999975331557	2462
99.9999940631824	2438
100.999997698636	2482
101.999994228663	2451
102.999997864117	2392
103.999994394144	2442
104.999998029598	2385
105.999994559625	2375
106.999998195079	2389
107.999994725105	2383
108.999998360559	2319
109.999994890586	2342
110.99999852604	2385
111.999995056067	2457
112.999998691521	2285
113.999995221548	2296
114.999998857002	2412
115.999995387028	2367
116.999999022482	2325
117.999995552509	2319
118.999999187963	2283
119.99999571799	2317
120.999999353444	2266
122.000002988898	2345
122.999992413497	2218
123.999996048951	2244
124.999999684405	2281
126.000003319859	2235
126.999992744459	2330
127.999996379913	2198
129.000000015367	2317
129.999989439966	2240
130.99999307542	2222
131.999996710874	2131
133.000000346328	2207
133.999989770928	2204
134.999993406382	2209
135.999997041836	2184
137.00000067729	2177
137.999990101889	2226
138.999993737343	2114
139.999997372797	2116
141.000001008251	2196
141.999990432851	2172
142.999994068305	2117
143.999997703759	2108
145.000001339213	2103
145.999990763812	2106
146.999994399266	2080
147.99999803472	2021
149.000001670174	2101
149.999991094774	2042
150.999994730228	2072
151.999998365682	2093
153.000002001136	2061
153.999991425735	2065
154.999995061189	2094
155.999998696643	1952
157.000002332097	1992
157.999991756697	2042
158.999995392151	2142
159.999999027605	1976
160.999988452204	2045
161.999992087658	2010
162.999995723112	1978
163.999999358566	2022
164.999988783165	2041
165.99999241862	2025
166.999996054074	1937
167.999999689528	1989
168.999989114127	1950
169.999992749581	2053
170.999996385035	1912
172.000000020489	1985
172.999989445088	1960
173.999993080542	1977
174.999996715997	1907
176.000000351451	1896
176.99998977605	1893
177.999993411504	1947
178.999997046958	1932
180.000000682412	1964
180.999990107011	1917
181.999993742465	1885
182.999997377919	1775
184.000001013374	1849
184.999990437973	1895
185.999994073427	1853
186.999997708881	1866
188.000001344335	1842
188.999990768934	1845
189.999994404388	1833
190.999998039842	1835
