Parameters:
  Sample : MBG_Glass_Air_OD1
  Solvent : <unspecified>
  Comment : Int = 10

  Exc_Wavelength : 505.5 nm
  Exc_Bandpass : 7.0 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : 10% (4)
  Det_Wavelength : 770.0 nm
  Det_Bandpass : 2.7 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 290.6 s
  Meas_BinWidth : 1000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 5000 counts
  Meas_PeakCounts : 4126 counts
  Sync_Frequency : 500000 Hz
  Sync_Source : PDL 820
  Signal_Rate : 9240 cps
  Start_Date : 14/02/2022
  Start_Time : 12:52:59
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -50 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -300 mV
  Sync_TrigEdge : true
  Sync_Offset : 300 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	462
0.999999971718068	418
1.99999994343614	386
2.9999998041319	452
3.99999988687227	411
4.99999996961265	433
5.99999960826381	517
6.99999969100418	463
7.99999977374455	448
8.99999985648492	436
9.99999993922529	451
11.0000000219657	440
11.9999992165276	437
12.999999299268	442
13.9999993820084	439
14.9999994647487	420
15.9999995474891	468
16.9999996302295	394
17.9999997129698	413
18.9999997957102	452
19.9999998784506	427
20.999999961191	431
22.0000000439313	417
23.0000001266717	437
23.9999984330552	455
24.9999985157956	439
25.999998598536	428
26.9999986812763	423
27.9999987640167	430
28.9999988467571	398
29.9999989294975	436
30.9999990122378	446
31.9999990949782	391
32.9999991777186	429
33.9999992604589	449
34.9999993431993	425
35.9999994259397	415
36.9999995086801	439
37.9999995914204	401
38.9999996741608	814
39.9999997569012	3825
40.9999998396415	4126
41.9999999223819	3898
43.0000000051223	3845
44.0000000878626	3790
45.000000170603	3642
46.0000002533434	3526
47.0000003360838	3533
47.9999968661105	3412
48.9999969488508	3354
49.9999970315912	3371
50.9999971143316	3242
51.9999971970719	3172
52.9999972798123	3114
53.9999973625527	3189
54.999997445293	3102
55.9999975280334	3183
56.9999976107738	3153
57.9999976935142	3180
58.9999977762545	3132
59.9999978589949	3040
61.0000014944489	2965
61.9999980244756	3038
63.0000016599297	3020
63.9999981899564	2909
64.9999947199831	2993
65.9999983554371	2948
66.9999948854638	2976
67.9999985209179	2881
68.9999950509446	3009
69.9999986863986	2934
70.9999952164253	2949
71.9999988518794	2886
72.999995381906	2903
73.9999990173601	2850
74.9999955473868	2881
75.9999991828408	2855
76.9999957128675	2809
77.9999993483216	2897
78.9999958783483	2794
79.9999995138023	2859
80.999996043829	2868
81.9999996792831	2789
82.9999962093098	2888
83.9999998447638	2880
84.9999963747905	2865
86.0000000102445	2851
86.9999965402712	2797
88.0000001757253	2834
88.999996705752	2803
90.000000341206	2742
90.9999968712327	2740
92.0000005066868	2917
92.9999970367135	2899
94.0000006721675	2762
94.9999972021942	2816
95.9999937322209	2712
96.999997367675	2831
97.9999938977016	2778
98.9999975331557	2811
99.9999940631824	2649
100.999997698636	2715
101.999994228663	2780
102.999997864117	2795
103.999994394144	2792
104.999998029598	2766
105.999994559625	2711
106.999998195079	2782
107.999994725105	2676
108.999998360559	2767
109.999994890586	2761
110.99999852604	2722
111.999995056067	2726
112.999998691521	2697
113.999995221548	2645
114.999998857002	2658
115.999995387028	2679
116.999999022482	2648
117.999995552509	2638
118.999999187963	2678
119.99999571799	2626
120.999999353444	2687
122.000002988898	2695
122.999992413497	2649
123.999996048951	2767
124.999999684405	2589
126.000003319859	2529
126.999992744459	2647
127.999996379913	2694
129.000000015367	2615
129.999989439966	2589
130.99999307542	2569
131.999996710874	2721
133.000000346328	2618
133.999989770928	2676
134.999993406382	2520
135.999997041836	2653
137.00000067729	2630
137.999990101889	2626
138.999993737343	2666
139.999997372797	2627
141.000001008251	2582
141.999990432851	2634
142.999994068305	2551
143.999997703759	2592
145.000001339213	2563
145.999990763812	2452
146.999994399266	2556
147.99999803472	2521
149.000001670174	2631
149.999991094774	2511
150.999994730228	2523
151.999998365682	2543
153.000002001136	2555
153.999991425735	2533
154.999995061189	2500
155.999998696643	2462
157.000002332097	2564
157.999991756697	2534
158.999995392151	2560
159.999999027605	2498
160.999988452204	2611
161.999992087658	2540
162.999995723112	2558
163.999999358566	2633
164.999988783165	2468
165.99999241862	2483
166.999996054074	2454
167.999999689528	2523
168.999989114127	2603
169.999992749581	2586
170.999996385035	2512
172.000000020489	2454
172.999989445088	2556
173.999993080542	2464
174.999996715997	2434
176.000000351451	2487
176.99998977605	2372
177.999993411504	2368
178.999997046958	2564
180.000000682412	2426
180.999990107011	2470
181.999993742465	2491
182.999997377919	2464
184.000001013374	2494
184.999990437973	2465
185.999994073427	2412
186.999997708881	2430
188.000001344335	2465
188.999990768934	2420
189.999994404388	2389
190.999998039842	2429
191.999987464442	2454
192.999991099896	2420
193.99999473535	2481
194.999998370804	2438
195.999987795403	2483
196.999991430857	2458
197.999995066311	2352
198.999998701765	2403
199.999988126365	2380
200.999991761819	2483
201.999995397273	2371
202.999999032727	2384
203.999988457326	2418
204.99999209278	2430
205.999995728234	2326
206.999999363688	2385
207.999988788288	2427
208.999992423742	2335
209.999996059196	2335
210.99999969465	2355
211.999989119249	2411
212.999992754703	2230
213.999996390157	2356
215.000000025611	2311
215.999989450211	2397
216.999993085665	2407
217.999996721119	2387
219.000000356573	2362
219.999989781172	2312
220.999993416626	2336
221.99999705208	2337
223.000000687534	2358
223.999990112134	2405
224.999993747588	2320
225.999997383042	2386
226.999986807641	2392
227.999990443095	2352
228.999994078549	2342
229.999997714003	2365
230.999987138603	2260
231.999990774057	2289
232.999994409511	2242
233.999998044965	2294
234.999987469564	2245
235.999991105018	2272
236.999994740472	2205
237.999998375926	2313
239.00000201138	2328
239.99999143598	2284
240.999980860579	2204
241.999998706888	2236
242.999988131487	2270
244.000005977796	2285
244.999995402395	2161
245.999984826994	2252
247.000002673303	2278
247.999992097903	2297
248.999981522502	2320
249.999999368811	2213
250.99998879341	2347
252.000006639719	2242
252.999996064318	2215
253.999985488917	2257
255.000003335226	2215
255.999992759826	2166
256.999982184425	2244
258.000000030734	2191
258.999989455333	2270
259.999978879932	2277
260.999996726241	2199
261.99998615084	2197
263.000003997149	2191
263.999993421749	2244
264.999982846348	2220
266.000000692657	2198
266.999990117256	2236
267.999979541855	2242
268.999997388164	2221
269.999986812763	2183
271.000004659072	2205
271.999994083671	2280
272.999983508271	2207
274.00000135458	2163
274.999990779179	2193
275.999980203778	2223
276.999998050087	2177
277.999987474686	2302
279.000005320995	2173
279.999994745594	2158
280.999984170194	2075
282.000002016503	2179
282.999991441102	2212
283.999980865701	2121
284.99999871201	2195
285.999988136609	2217
287.000005982918	2210
287.999995407517	2173
288.999984832117	2156
290.000002678426	2105
290.999992103025	2136
291.999981527624	2129
292.999999373933	2138
293.999988798532	2110
294.999978223132	2098
295.99999606944	2165
296.99998549404	2086
298.000003340348	2045
298.999992764948	2107
299.999982189547	2107
301.000000035856	2126
301.999989460455	2159
302.999978885055	2154
303.999996731363	2127
304.999986155963	2016
306.000004002271	2130
306.999993426871	2175
307.99998285147	2030
309.000000697779	2041
309.999990122378	2136
310.999979546978	2006
311.999997393286	2122
312.999986817886	2179
314.000004664194	2019
314.999994088794	2057
315.999983513393	2108
317.000001359702	2165
317.999990784301	2106
318.999980208901	2041
319.999998055209	2021
320.999987479809	2067
321.999976904408	2102
322.999994750717	1991
323.999984175316	2096
325.000002021625	2060
325.999991446224	2068
326.999980870823	2074
327.999998717132	2054
328.999988141732	2051
329.999977566331	2083
330.99999541264	2051
331.999984837239	2086
333.000002683548	2030
333.999992108147	2087
334.999981532746	1985
335.999999379055	1957
336.999988803655	1943
337.999978228254	2088
338.999996074563	2038
339.999985499162	1929
341.000003345471	2053
341.99999277007	2050
342.999982194669	2018
344.000000040978	1991
344.999989465578	2067
345.999978890177	1967
346.999996736486	1958
347.999986161085	2003
349.000004007394	2026
349.999993431993	2076
350.999982856592	1878
352.000000702901	1964
352.9999901275	1999
353.9999795521	1998
354.999997398409	1972
355.999986823008	1939
356.999976247607	2012
357.999994093916	1982
358.999983518515	1992
360.000001364824	1995
360.999990789423	1987
361.999980214023	2013
362.999998060332	1973
363.999987484931	1987
364.99997690953	1948
365.999994755839	1853
366.999984180438	1915
368.000002026747	1973
368.999991451346	1957
369.999980875946	1875
370.999998722255	1935
371.999988146854	1949
372.999977571453	1871
373.999995417762	1978
374.999984842361	1902
376.00000268867	1969
376.999992113269	1935
377.999981537869	1891
378.999999384177	1974
379.999988808777	1838
380.999978233376	1913
381.999996079685	1929
382.999985504284	1912
383.999974928884	1844
384.999992775192	1988
385.999982199792	1950
387.0000000461	1892
387.9999894707	1928
388.999978895299	1944
389.999996741608	1964
390.999986166207	1905
391.999975590807	1901
392.999993437115	1904
393.999982861715	1908
395.000000708023	1873
395.999990132623	1919
396.999979557222	1912
397.999997403531	1919
398.99998682813	1928
399.99997625273	1861
400.999994099038	1860
401.999983523638	1962
403.000001369946	1854
403.999990794546	1904
404.999980219145	1876
405.999998065454	1951
406.999987490053	1810
407.999976914652	1895
408.999994760961	1838
409.999984185561	1856
411.000002031869	1897
411.999991456469	1872
412.999980881068	1846
413.999998727377	1756
414.999988151976	1826
415.999977576575	1831
416.999995422884	1825
417.999984847484	1839
418.999974272083	1845
419.999992118392	1857
420.999981542991	1850
421.9999993893	1793
422.999988813899	1900
423.999978238498	1866
424.999996084807	1789
425.999985509407	1832
426.999974934006	1762
427.999992780315	1826
428.999982204914	1858
430.000000051223	1813
430.999989475822	1871
431.999978900421	1801
432.99999674673	1851
433.99998617133	1840
434.999975595929	1866
435.999993442238	1843
436.999982866837	1729
438.000000713146	1828
438.999990137745	1800
439.999979562344	1775
440.999997408653	1853
441.999986833252	1785
442.999976257852	1791
443.999994104161	1749
444.99998352876	1742
446.000001375069	1792
446.999990799668	1837
447.999980224267	1733
448.999998070576	1788
449.999987495175	1741
450.999976919775	1746
451.999994766084	1748
452.999984190683	1747
453.999973615282	1729
454.999991461591	1737
455.99998088619	1748
456.999998732499	1770
457.999988157098	1736
458.999977581698	1761
459.999995428007	1686
460.999984852606	1715
461.999974277205	1731
462.999992123514	1703
463.999981548113	1699
464.999999394422	1870
465.999988819021	1722
466.999978243621	1703
467.999996089929	1705
468.999985514529	1750
469.999974939128	1748
470.999992785437	1764
471.999982210036	1752
473.000000056345	1678
473.999989480944	1636
474.999978905544	1705
475.999996751852	1724
477.000014598161	1721
478.000004022761	1646
478.99999344736	1760
479.999982871959	1755
480.999972296559	1730
481.999961721158	1744
483.000007989176	1761
483.999997413775	1703
484.999986838375	1683
485.999976262974	1664
486.999965687573	1668
488.000011955592	1730
489.000001380191	1686
489.99999080479	1702
490.99998022939	1711
491.999969653989	1749
492.999959078588	1677
494.000005346606	1683
494.999994771206	1749
495.999984195805	1669
496.999973620404	1625
497.999963045004	1713
499.000009313022	1623
499.999998737621	1631
500.999988162221	1652
501.99997758682	1687
502.999967011419	1602
504.000013279438	1656
505.000002704037	1683
505.999992128636	1666
506.999981553236	1630
507.999970977835	1647
508.999960402434	1648
510.000006670452	1664
510.999996095052	1614
511.999985519651	1598
512.99997494425	1639
513.99996436885	1685
515.000010636868	1621
516.000000061467	1625
516.999989486067	1575
517.999978910666	1698
518.999968335265	1658
519.999957759865	1653
521.000004027883	1659
521.999993452482	1558
522.999982877081	1663
523.999972301681	1594
524.99996172628	1604
526.000007994298	1588
526.999997418898	1626
527.999986843497	1659
528.999976268096	1598
529.999965692696	1606
531.000011960714	1625
532.000001385313	1669
532.999990809913	1617
533.999980234512	1598
534.999969659111	1627
535.999959083711	1614
537.000005351729	1595
537.999994776328	1584
538.999984200927	1626
539.999973625527	1585
540.999963050126	1518
542.000009318144	1608
542.999998742744	1621
543.999988167343	1622
544.999977591942	1614
545.999967016542	1516
546.999956441141	1520
548.000002709159	1590
548.999992133759	1601
